country,year,iso_code,energy_per_capita,energy_per_gdp
Argentina,1985,ARG,15901.774,1.441
Argentina,1986,ARG,16549.99,1.419
Argentina,1987,ARG,17037.08,1.446
Argentina,1988,ARG,17062.936,1.498
Argentina,1989,ARG,16211.047,1.54
Argentina,1990,ARG,15718.703,1.514
Argentina,1991,ARG,15747.927,1.386
Argentina,1992,ARG,16661.842,1.342
Argentina,1993,ARG,16981.766,1.299
Argentina,1994,ARG,17651.035,1.287
Argentina,1995,ARG,17977.289,1.361
Argentina,1996,ARG,18568.533,1.343
Argentina,1997,ARG,18560.301,1.251
Argentina,1998,ARG,18999.846,1.241
Argentina,1999,ARG,18990.684,1.293
Argentina,2000,ARG,18849.811,1.303
Argentina,2001,ARG,18210.119,1.325
Argentina,2002,ARG,17275.256,1.419
Argentina,2003,ARG,18326.521,1.391
Argentina,2004,ARG,19261.457,1.348
Argentina,2005,ARG,20232.844,1.309
Argentina,2006,ARG,21038.723,1.267
Argentina,2007,ARG,21708.369,1.205
Argentina,2008,ARG,21780.381,1.169
Argentina,2009,ARG,20954.271,1.202
Argentina,2010,ARG,21507.703,1.126
Argentina,2011,ARG,21894.867,1.087
Argentina,2012,ARG,22494.715,1.141
Argentina,2013,ARG,23152.588,1.158
Argentina,2014,ARG,22881.006,1.186
Argentina,2015,ARG,23046.873,1.176
Argentina,2016,ARG,22726.455,1.198
Argentina,2017,ARG,22503.818,1.166
Argentina,2018,ARG,22163.16,1.187
Australia,1985,AUS,55592.766,2.243
Australia,1986,AUS,55888.602,2.241
Australia,1987,AUS,56655.859,2.198
Australia,1988,AUS,58299.43,2.2
Australia,1989,AUS,60255.328,2.214
Australia,1990,AUS,60597.098,2.226
Australia,1991,AUS,59365.43,2.224
Australia,1992,AUS,59681.504,2.181
Australia,1993,AUS,60350.93,2.125
Australia,1994,AUS,62085.629,2.096
Australia,1995,AUS,64117.02,2.102
Australia,1996,AUS,65239.766,2.068
Australia,1997,AUS,66120.109,2.027
Australia,1998,AUS,67001.016,1.965
Australia,1999,AUS,69004.57,1.953
Australia,2000,AUS,68632.961,1.887
