country,year,population,energy_per_capita
Brazil,1985,136783184,10027.937
Brazil,1986,139643360,10361.041
Brazil,1987,142466272,10437.202
Brazil,1988,145253984,10552.992
Brazil,1989,148003424,10650.324
Brazil,1990,150706448,10391.007
Brazil,1991,153336448,10542.793
Brazil,1992,155900784,10515.058
Brazil,1993,158440864,10825.511
Brazil,1994,160980480,11174.377
Brazil,1995,163515328,11697.941
Brazil,1996,166037120,12198.168
Brazil,1997,168546704,12775.408
Brazil,1998,171039808,13032.864
Brazil,1999,173486272,12995.942
Brazil,2000,175873712,13400.32
Brazil,2001,178211888,12893.828
Brazil,2002,180476688,13021.791
Brazil,2003,182629280,13111.923
Brazil,2004,184722048,13593.7
Brazil,2005,186797344,13792.465
Brazil,2006,188820688,14020.683
Brazil,2007,190779456,14770.351
Brazil,2008,192672320,15255.087
Brazil,2009,194517552,15004.24
Brazil,2010,196353504,16220.931
Brazil,2011,198185296,16629.84
Brazil,2012,199977712,16963.494
Brazil,2013,201721776,17221.439
Brazil,2014,203459648,17519.043
Brazil,2015,205188208,17140.15
Brazil,2016,206859584,16591.764
Brazil,2017,208504960,16608.686
Brazil,2018,210166592,16539.109
Brazil,2019,211782880,16681.945
Brazil,2020,213196304,15921.327
Brazil,2021,214326224,16659.977
Brazil,2022,215313504,17299.75
Canada,1985,25843920,110558.883
Canada,1986,26116076,110465.453
Canada,1987,26436886,112631.016
Canada,1988,26815068,115489.023
Canada,1989,27244408,114790.242
Canada,1990,27657206,108781.125
Canada,1991,28015762,107826
Canada,1992,28347644,109417.391
Canada,1993,28668168,110924.656
Canada,1994,28981190,113906.836
Canada,1995,29289430,115464.414
Canada,1996,29593856,117390.445
Canada,1997,29882752,116831.453
Canada,1998,30144816,114154.594
Canada,1999,30399776,116807.078
Canada,2000,30683316,118875.336
Canada,2001,31002768,115218.68
Canada,2002,31322400,117915.383
Canada,2003,31619456,117365.117
Canada,2004,31911670,118078.047
Canada,2005,32215914,117744.773
Canada,2006,32531864,115946.312
Canada,2007,32862458,119158.602
Canada,2008,33218542,116479.148
Canada,2009,33593920,110665.805
Canada,2010,33963416,110485.93
Canada,2011,34323536,113449.32
Canada,2012,34691876,112586.703
Canada,2013,35063696,114051.086
Canada,2014,35404616,113198.414
Canada,2015,35732120,112891.758
Canada,2016,36113532,110180.789
Canada,2017,36554344,110509.586
Canada,2018,37035260,110059.281
Canada,2019,37522584,107980.758
Canada,2020,37888704,100497.281
Canada,2021,38155012,100738.891
Canada,2022,38454328,102160.289
China,1985,1060240000,5800.923
China,1986,1077770496,5979.108
China,1987,1096851840,6336.534
China,1988,1115889792,6691.621
China,1989,1134414720,6907.912
China,1990,1153704192,6880.663
China,1991,1170626176,7122.351
China,1992,1183813376,7411.395
China,1993,1195855616,7908.675
China,1994,1207286656,8323.468
China,1995,1218144384,8498.712
China,1996,1228298880,8880.126
